pr_number,commits_count,commit_authors,files_changed,additions,deletions,total_changes,max_file_changes,avg_file_changes,files_added,files_modified,files_removed,files_renamed,deletion_ratio,changes_per_commit,files_per_commit,developers_involved
327657,1,1,1.0,14.0,7.0,21.0,21.0,21.0,0.0,1.0,0.0,0.0,0.3333333333333333,21.0,1.0,1
327658,1,1,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.5,2.0,1.0,1
327659,1,1,1.0,21.0,7.0,28.0,28.0,28.0,0.0,1.0,0.0,0.0,0.25,28.0,1.0,1
327662,2,1,4.0,95.0,32.0,127.0,31.0,21.166666666666668,1.0,5.0,0.0,0.0,0.25196850393700787,63.5,2.0,1
327664,1,1,3.0,14.0,16.0,30.0,16.0,10.0,0.0,3.0,0.0,0.0,0.5333333333333333,30.0,3.0,1
327666,6,2,415.0,24659.0,4846.0,29505.0,4674.0,64.84615384615384,39.0,415.0,1.0,0.0,0.1642433485849856,4917.5,69.16666666666667,2
327670,3,1,12.0,290.0,54.0,344.0,87.0,28.666666666666668,0.0,12.0,0.0,0.0,0.1569767441860465,114.66666666666667,4.0,1
327674,1,1,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.5,2.0,1.0,1
327675,2,1,5.0,146.0,40.0,186.0,48.0,26.571428571428573,0.0,7.0,0.0,0.0,0.21505376344086022,93.0,2.5,1
327677,3,2,2.0,59.0,13.0,72.0,40.0,14.4,1.0,4.0,0.0,0.0,0.18055555555555555,24.0,0.6666666666666666,2
327681,1,1,4.0,73.0,45.0,118.0,99.0,29.5,0.0,4.0,0.0,0.0,0.3813559322033898,118.0,4.0,1
327683,3,1,3.0,109.0,11.0,120.0,67.0,30.0,0.0,4.0,0.0,0.0,0.09166666666666666,40.0,1.0,1
327684,10,1,13.0,300.0,59.0,359.0,90.0,13.807692307692308,2.0,24.0,0.0,0.0,0.16434540389972144,35.9,1.3,1
327686,1,1,2.0,122.0,11.0,133.0,83.0,66.5,0.0,2.0,0.0,0.0,0.08270676691729323,133.0,2.0,1
327688,1,1,2.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.5,4.0,2.0,1
327689,4,1,302.0,22224.0,5707.0,27931.0,2700.0,91.27777777777777,66.0,231.0,8.0,1.0,0.2043249436110415,6982.75,75.5,1
327690,11,2,626.0,32237.0,7722.0,39959.0,1389.0,53.708333333333336,85.0,638.0,16.0,5.0,0.1932480792812633,3632.6363636363635,56.90909090909091,2
327691,3,1,34.0,890.0,200.0,1090.0,186.0,26.585365853658537,1.0,40.0,0.0,0.0,0.1834862385321101,363.3333333333333,11.333333333333334,1
327692,10,1,31.0,4572.0,178.0,4750.0,557.0,50.0,20.0,75.0,0.0,0.0,0.03747368421052632,475.0,3.1,1
327693,2,1,83.0,2358.0,893.0,3251.0,412.0,38.70238095238095,5.0,78.0,1.0,0.0,0.2746847123961858,1625.5,41.5,1
327694,2,2,17.0,313.0,308.0,621.0,82.0,34.5,2.0,15.0,1.0,0.0,0.49597423510466987,310.5,8.5,2
327696,1,1,3.0,3.0,2.0,5.0,2.0,1.6666666666666667,0.0,3.0,0.0,0.0,0.4,5.0,3.0,1
327697,2,2,5.0,146.0,27.0,173.0,72.0,24.714285714285715,0.0,7.0,0.0,0.0,0.15606936416184972,86.5,2.5,2
